WERKS,EQUNR,EMATN,DATAB,DATBI,MAABC,MENGE,LEADTIME,cut_date,operate_day,k,demand_peryear,Anper
B601,B-0102MM2206,6112733,2016-01-01,2099-12-31,B,4.0,154.5,2021-12-31,2191,6.0,0.6666666666666666,PKG
B601,B-0102MM2207,6160425,2016-01-01,2099-12-31,B,2.0,82.33333333333333,2021-12-31,2191,6.0,0.3333333333333333,PKG
B601,B-0102P2201B,6115431,2016-01-01,2099-12-31,B,4.0,67.0,2021-12-31,2191,6.0,0.6666666666666666,PKG
B601,B-0107P2212A,6115431,2016-01-01,2099-12-31,B,4.0,67.0,2021-12-31,2191,6.0,0.6666666666666666,PKG
B601,B-0102P2203A,6133370,2016-01-01,2099-12-31,B,4.0,110.66666666666667,2021-12-31,2191,6.0,0.6666666666666666,PKG
B601,B-0102P2206A,6082773,2016-01-01,2099-12-31,B,100.0,91.0,2021-12-31,2191,6.0,16.666666666666668,PKG
B601,B-0107-DA503,6082773,2016-01-01,2099-12-31,B,16.0,91.0,2021-12-31,2191,6.0,2.6666666666666665,PKG
B601,B-0102P2206A,6130479,2016-01-01,2099-12-31,B,100.0,66.0,2021-12-31,2191,6.0,16.666666666666668,PKG
B601,B-0102P2206A,6185939,2016-01-01,2099-12-31,B,2.0,165.0,2021-12-31,2191,6.0,0.3333333333333333,PKG
B601,B-01R301A,6185939,2016-01-01,2099-12-31,B,2.0,165.0,2021-12-31,2191,6.0,0.3333333333333333,PKG
B601,B-0102P2206C,6121753,2016-01-01,2099-12-31,B,4.0,78.5,2021-12-31,2191,6.0,0.6666666666666666,PKG
B601,B-01P9302A,6121753,2017-11-16,2099-12-31,B,4.0,78.5,2021-12-31,1506,4.0,1.0,PKG
B601,B-0103M5701A,6026933,2016-01-01,2099-12-31,B,3.0,148.25,2021-12-31,2191,6.0,0.5,PKG
B601,B-0103M5701A,6110826,2016-01-01,2099-12-31,B,4.0,287.0,2021-12-31,2191,6.0,0.6666666666666666,PKG
B601,B-0103M5701A,6114178,2016-01-01,2099-12-31,B,8.0,357.0,2021-12-31,2191,6.0,1.3333333333333333,PKG
B601,B-0103M5701A,6124392,2016-01-01,2099-12-31,B,100.0,61.0,2021-12-31,2191,6.0,16.666666666666668,PKG
B601,B-0103M5701B,6126676,2016-01-01,2099-12-31,B,5.0,617.0,2021-12-31,2191,6.0,0.8333333333333334,PKG
B601,B-0103M5702A,6109375,2016-01-01,2099-12-31,B,10.0,194.0,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0107M712C,6109375,2016-01-01,2099-12-31,B,10.0,194.0,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0103M5702A,6110158,2016-01-01,2099-12-31,B,27.0,122.0,2021-12-31,2191,6.0,4.5,PKG
B601,B-0107M712C,6110158,2016-01-01,2099-12-31,B,15.0,122.0,2021-12-31,2191,6.0,2.5,PKG
B601,B-0107M713C,6110158,2016-01-01,2099-12-31,B,20.0,122.0,2021-12-31,2191,6.0,3.3333333333333335,PKG
B601,B-0103M5702A,6110630,2016-01-01,2099-12-31,B,12.0,84.0,2021-12-31,2191,6.0,2.0,PKG
B601,B-0107M713C,6110630,2016-01-01,2099-12-31,B,12.0,84.0,2021-12-31,2191,6.0,2.0,PKG
B601,B-0103M5702A,6113541,2016-01-01,2099-12-31,B,10.0,59.0,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0103M5703B,6113541,2016-01-01,2099-12-31,B,10.0,59.0,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-01M613A,6113541,2016-01-01,2099-12-31,B,6.0,59.0,2021-12-31,2191,6.0,1.0,PKG
B601,B-0103M5702A,6115561,2016-01-01,2099-12-31,B,10.0,194.5,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0103M5702A,6120033,2016-01-01,2099-12-31,B,12.0,175.8,2021-12-31,2191,6.0,2.0,PKG
B601,B-0107M714B,6120033,2016-01-01,2099-12-31,B,200.0,175.8,2021-12-31,2191,6.0,33.333333333333336,PKG
B601,B-01M611A,6120033,2016-01-01,2099-12-31,B,200.0,175.8,2021-12-31,2191,6.0,33.333333333333336,PKG
B601,B-0103M5702A,6120949,2016-01-01,2099-12-31,B,10.0,138.4,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0103M5703B,6120949,2016-01-01,2099-12-31,B,20.0,138.4,2021-12-31,2191,6.0,3.3333333333333335,PKG
B601,B-0103M5703C,6120949,2016-01-01,2099-12-31,B,40.0,138.4,2021-12-31,2191,6.0,6.666666666666667,PKG
B601,B-0107M712B,6120949,2016-01-01,2099-12-31,B,10.0,138.4,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0103M5702A,6120950,2016-01-01,2099-12-31,B,20.0,209.25,2021-12-31,2191,6.0,3.3333333333333335,PKG
B601,B-0103M5703C,6120950,2016-01-01,2099-12-31,B,10.0,209.25,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0103M5702A,6120977,2016-01-01,2099-12-31,B,12.0,83.0,2021-12-31,2191,6.0,2.0,PKG
B601,B-0103M5702A,6121539,2016-01-01,2099-12-31,B,20.0,332.0,2021-12-31,2191,6.0,3.3333333333333335,PKG
B601,B-0103M5702A,6122708,2016-01-01,2099-12-31,B,12.0,132.5,2021-12-31,2191,6.0,2.0,PKG
B601,B-0103M5703A,6122708,2016-01-01,2099-12-31,B,10.0,132.5,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0107M713A,6122708,2016-01-01,2099-12-31,B,20.0,132.5,2021-12-31,2191,6.0,3.3333333333333335,PKG
B601,B-0103M5702A,6122710,2016-01-01,2099-12-31,B,10.0,158.4,2021-12-31,2191,6.0,1.6666666666666667,PKG
B601,B-0103M5703C,6122710,2016-01-01,2099-12-31,B,20.0,158.4,2021-12-31,2191,6.0,3.3333333333333335,PKG
B601,B-0107M712D,6122710,2016-01-01,2099-12-31,B,20.0,158.4,2021-12-31,2191,6.0,3.3333333333333335,PKG
B601,B-01M613A,6122710,2016-01-01,2099-12-31,B,20.0,158.4,2021-12-31,2191,6.0,3.3333333333333335,PKG
